race,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
White,0.6775375823083613,0.675531345156305,0.6766516269758269,0.7019315575939319,0.705324590905237,0.705935552092609,0.7016267417118539,0.6761772020442185,0.672999354630526,0.6725387638062872,0.6662270162975344,0.6684048444697479,0.6715645668990302,0.673953395038503,0.6748000948068311,0.6734388894378026,0.6748331802877258,0.6812007358405516,0.6782502093776931,0.6860647025806991,0.6896380352853475,0.6915905430348347,0.6973962325505771,0.7034582396917856,0.7080676620547274,0.7147950683105632,0.7184336472508326,0.720934038954662,0.7250929731845762,0.7303832902670112,0.7238534854895927,0.7207116836492266,0.7185633779123559,0.7120685855798189,0.7101446239881033,0.706010009760555,0.6987129243843075,0.6944168670999437,0.6907763227675111,0.682,0.682
Black,0.4423821605020697,0.4412294238683128,0.44540554093017426,0.48189933052318373,0.4860237596086653,0.47812817904374366,0.4720455306327419,0.4534544638851503,0.4551754006063231,0.44145569620253167,0.44513626620394,0.4540415238863133,0.4244060475161987,0.4182369093835811,0.42389853137516686,0.42414019304657485,0.422539023730037,0.4223413762287757,0.4246963921638153,0.4193908193908194,0.4392329619072299,0.4550334461970435,0.4597562930896264,0.4549646235789808,0.4712428982800218,0.4768483376347351,0.4817123544874202,0.47694021537318976,0.4906449482720669,0.49127380693750455,0.4727896014855021,0.4816775811620454,0.4714452614940554,0.4641315519013361,0.45994568906992533,0.4433016704880446,0.4328434832830649,0.4281123991935484,0.4275398406374502,0.423,0.416
Hispanic,0.4270691994572592,0.4225900681596884,0.4261501210653753,0.46004254026131874,0.4758414766558089,0.46646185355862774,0.4653266331658292,0.41223990208078337,0.4042995839112344,0.4110178169158305,0.40571647803568,0.40568475452196384,0.40224640224640223,0.41573604060913705,0.4117647058823529,0.38954983922829584,0.3992788838375921,0.400543314216722,0.4156479217603912,0.4237879767291532,0.41239450812444894,0.4307598784194529,0.4490104772991851,0.4520971302428256,0.4553063633437064,0.4558501096272673,0.47471187732164966,0.47490960402151866,0.473742730071844,0.4929380850714403,0.4874990015176931,0.4930239728667232,0.4911912437214184,0.4780633147113594,0.47563543389983454,0.4653494328576656,0.4611707655005195,0.45953544413950065,0.4535890692154724,0.456,0.46
